	Each value is multiplied by 100000 times for better view. So to get frequency you have to divide value for 100000.
         à        á        â        ã        ä        å        æ        ç        è        é        ê        ë        ì        í        î        ï        ð        ñ        ò        ó        ô        õ        ö        ÷        ø        ù        ú        û        ü        ý        þ        ÿ 
à  86.9481  198.048   531.35  164.235  463.723  265.675  130.422  420.249  120.761  48.3045  671.433  903.294  681.094  869.481  115.931  338.132  594.145  603.806  656.941  57.9654  19.3218  275.336  72.4568  159.405  169.066  19.3218        0        0        0  43.4741  120.761  304.318 
á  86.9481        0  4.83045  4.83045  4.83045  202.879        0        0  115.931        0  24.1523  82.1177  4.83045  28.9827  333.301  4.83045  101.439  19.3218        0  183.557        0        0        0        0        0  67.6263  24.1523  280.166        0        0        0  24.1523 
â  598.976  19.3218  43.4741  77.2872  67.6263  458.893  4.83045  28.9827  367.114        0  130.422  86.9481   96.609  169.066  632.789  149.744  154.574  376.775   96.609  38.6436  4.83045   9.6609        0  28.9827  28.9827        0        0  275.336        0  28.9827        0  19.3218 
ã  193.218  4.83045  14.4914   9.6609  164.235  38.6436        0        0  86.9481        0  38.6436  144.914  4.83045  48.3045  676.263  4.83045  251.183        0  4.83045  67.6263        0        0        0        0        0        0        0        0        0        0  4.83045        0 
ä  768.042   9.6609  82.1177  4.83045  14.4914  507.197  4.83045        0  396.097        0  38.6436  43.4741  14.4914  444.402  468.554  14.4914  72.4568  43.4741  33.8132   106.27        0  33.8132   9.6609  4.83045        0        0  4.83045  77.2872  19.3218   9.6609        0  67.6263 
å  125.592  154.574  386.436  357.453   318.81  115.931  48.3045   212.54  82.1177  135.253  256.014  516.858  569.993   859.82  140.083  357.453  879.142  782.533  777.703  62.7959  19.3218  149.744  24.1523  135.253  115.931   106.27        0        0        0  33.8132  4.83045  14.4914 
æ    111.1        0        0        0  57.9654   323.64   9.6609        0   96.609        0  19.3218        0  14.4914  169.066  4.83045        0        0        0        0  62.7959        0        0        0  4.83045        0        0        0        0        0        0        0        0 
ç  502.367  14.4914  62.7959  67.6263    111.1  38.6436  14.4914   9.6609  57.9654        0  38.6436  33.8132  33.8132  144.914  101.439  33.8132  14.4914   9.6609  4.83045  48.3045        0  4.83045        0  4.83045        0        0  4.83045  67.6263   9.6609  4.83045        0  28.9827 
è   53.135  193.218  478.215   106.27   318.81  265.675  57.9654  183.557   217.37  159.405   323.64  579.654  415.419  782.533  227.031  347.792  159.405  371.945  579.654  62.7959   9.6609  202.879  62.7959  309.149  57.9654  14.4914        0        0        0  28.9827  24.1523  115.931 
é  28.9827  19.3218   53.135  33.8132  24.1523   9.6609   9.6609   9.6609  48.3045        0   106.27  14.4914  28.9827   96.609   53.135   106.27  24.1523  72.4568  62.7959        0   9.6609   9.6609  4.83045  24.1523  14.4914        0        0        0        0        0        0  4.83045 
ê  845.329  28.9827  101.439  4.83045  14.4914  130.422  24.1523  4.83045  512.028        0  62.7959  115.931  14.4914   96.609  937.108  72.4568  207.709  82.1177  77.2872   217.37        0        0  28.9827  24.1523   9.6609        0        0        0        0  14.4914        0  14.4914 
ë  434.741  14.4914  14.4914   9.6609  28.9827  396.097  48.3045  14.4914  975.751        0  38.6436  33.8132  28.9827   96.609   647.28   53.135  14.4914  159.405  19.3218  144.914  4.83045  14.4914        0  28.9827        0        0        0  86.9481  512.028        0  120.761  159.405 
ì  497.536   53.135  86.9481  14.4914  48.3045  439.571  19.3218  19.3218  376.775        0  77.2872  19.3218  67.6263   323.64  608.637  140.083  28.9827  91.7786  14.4914  193.218        0   9.6609        0  14.4914  19.3218        0        0  280.166  4.83045  19.3218        0  86.9481 
í  1661.68  4.83045  28.9827  28.9827  48.3045  1028.89        0  19.3218  714.907        0  38.6436        0  14.4914  260.844  1434.64  33.8132  24.1523  82.1177  251.183  236.692  14.4914   9.6609   53.135        0  4.83045        0        0  492.706  154.574  19.3218  14.4914  173.896 
î  57.9654  584.485  995.073  550.671  927.447  246.353  236.692  198.048  222.201  289.827  468.554  569.993   859.82  787.364  231.862  521.689  883.973  883.973  903.294  38.6436  38.6436   106.27  67.6263  420.249  144.914  14.4914        0        0        0   53.135  14.4914  169.066 
ï  342.962        0        0        0        0  342.962        0        0  101.439        0  28.9827  86.9481        0  4.83045   1236.6  24.1523  758.381        0  4.83045  115.931        0        0        0        0        0        0        0  14.4914  4.83045        0        0  43.4741 
ð  1101.34   9.6609  86.9481  38.6436  48.3045  705.246  24.1523  4.83045  550.671        0   53.135   9.6609  38.6436  149.744  1004.73   53.135   9.6609  67.6263  227.031  362.284        0  19.3218        0  4.83045   53.135  4.83045        0  164.235  14.4914  4.83045  48.3045  125.592 
ñ  135.253  38.6436  140.083  4.83045  19.3218  381.606   9.6609   9.6609  188.388        0  410.588   217.37   96.609  164.235  338.132  183.557  57.9654  67.6263  1149.65  260.844  4.83045  28.9827        0  19.3218        0        0  4.83045  43.4741  260.844  4.83045  14.4914   531.35 
ò  772.872  14.4914  173.896  19.3218  28.9827  502.367  14.4914  14.4914  550.671        0  91.7786  57.9654  72.4568  256.014   1618.2  125.592  410.588  313.979   96.609  256.014   9.6609  4.83045        0  48.3045  24.1523  4.83045        0  130.422  700.415  24.1523   9.6609  57.9654 
ó  57.9654   96.609  101.439  101.439  362.284  48.3045  169.066  140.083  67.6263  19.3218  130.422  130.422  91.7786  125.592  24.1523  91.7786  115.931   212.54  294.658  4.83045  19.3218  38.6436        0  125.592  33.8132  4.83045        0        0        0  28.9827  72.4568  14.4914 
ô  43.4741        0        0        0        0   9.6609        0        0  67.6263        0  4.83045  4.83045        0        0  48.3045        0   9.6609        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0 
õ  120.761        0   9.6609   9.6609  28.9827        0  4.83045   9.6609   53.135        0  19.3218  19.3218   53.135  86.9481  410.588  57.9654  33.8132  19.3218  67.6263  28.9827   9.6609  4.83045        0  14.4914  14.4914        0        0        0        0  19.3218        0        0 
ö  24.1523        0  19.3218        0        0  72.4568        0        0  130.422        0  4.83045        0  48.3045  4.83045   9.6609        0        0        0  4.83045  4.83045        0        0        0        0        0        0        0  19.3218        0        0        0        0 
÷  294.658        0  4.83045        0        0  492.706        0        0  159.405        0  86.9481        0        0  91.7786  4.83045        0        0        0  284.997   53.135        0        0        0        0  4.83045        0        0        0  38.6436        0        0        0 
