	Each value is multiplied by 100000 times for better view. So to get frequency you have to divide value for 100000.
         à        á        â        ã        ä        å        æ        ç        è        é        ê        ë        ì        í        î        ï        ð        ñ        ò        ó        ô        õ        ö        ÷        ø        ù        ú        û        ü        ý        þ        ÿ 
à  43.4741  77.2872  304.318  86.9481  241.523  140.083  82.1177  207.709  57.9654   9.6609  347.792  415.419  367.114  454.062  82.1177  154.574  333.301  313.979  294.658  24.1523   9.6609  115.931  38.6436  82.1177  91.7786   9.6609        0        0        0  28.9827  62.7959  101.439 
á  33.8132        0  4.83045        0  4.83045  101.439        0        0  67.6263        0   9.6609  48.3045  4.83045  14.4914  140.083  4.83045   53.135   9.6609        0   106.27        0        0        0        0        0  38.6436  19.3218  149.744        0        0        0   9.6609 
â   318.81   9.6609  14.4914  33.8132  28.9827  251.183        0   9.6609   212.54        0  62.7959   53.135  62.7959   53.135   318.81  72.4568  72.4568  188.388  48.3045        0        0   9.6609        0   9.6609  24.1523        0        0  120.761        0  14.4914        0   9.6609 
ã  77.2872        0  4.83045   9.6609  72.4568  14.4914        0        0  48.3045        0   9.6609  67.6263        0  24.1523  309.149  4.83045  149.744        0  4.83045  43.4741        0        0        0        0        0        0        0        0        0        0  4.83045        0 
ä  396.097        0  48.3045        0   9.6609  256.014        0        0  169.066        0   9.6609  28.9827   9.6609  260.844  227.031  4.83045  43.4741  24.1523   9.6609  38.6436        0  19.3218        0        0        0        0        0  43.4741   9.6609  4.83045        0  38.6436 
å  72.4568   96.609  202.879  193.218  135.253  38.6436  19.3218  120.761   53.135  72.4568  125.592  236.692  270.505  400.927  77.2872  193.218  396.097  396.097  391.267  19.3218        0  62.7959  4.83045  72.4568  43.4741  72.4568        0        0        0  14.4914        0  4.83045 
æ  67.6263        0        0        0  38.6436  178.727  4.83045        0  57.9654        0  4.83045        0  4.83045  91.7786  4.83045        0        0        0        0  38.6436        0        0        0        0        0        0        0        0        0        0        0        0 
ç  256.014  4.83045  38.6436  24.1523  62.7959  24.1523  14.4914   9.6609  24.1523        0  19.3218  14.4914  4.83045  77.2872  33.8132  19.3218  4.83045   9.6609        0  24.1523        0  4.83045        0        0        0        0  4.83045  19.3218   9.6609  4.83045        0  24.1523 
è   9.6609    111.1   212.54  62.7959  149.744  120.761  14.4914  86.9481  120.761   106.27  125.592  294.658   212.54  352.623  120.761  135.253  72.4568  193.218  260.844  24.1523   9.6609   96.609  19.3218  178.727  28.9827  4.83045        0        0        0  4.83045  14.4914  43.4741 
é  19.3218  4.83045  19.3218   9.6609  14.4914  4.83045        0  4.83045  19.3218        0  62.7959  4.83045  14.4914  43.4741  33.8132  38.6436  14.4914  14.4914  33.8132        0  4.83045  4.83045        0  4.83045  14.4914        0        0        0        0        0        0        0 
